scheduling_algorithm,process_no,ni,batch_size,time_quantum,start_time,num_wait_iters,total_waiting_time,turn_around_time
fcfs,0,10000,100,2147483647,1636800687.117750149,100,00.000003,00.000182
fcfs,1,750000,100,2147483647,1636800687.117739649,7500,00.002294,00.112979
fcfs,2,50000,100,2147483647,1636800687.117778135,500,00.116460,00.120375
fcfs,0,10000,100,2147483647,1636800687.244327897,100,00.000002,00.000156
fcfs,1,750000,100,2147483647,1636800687.244321302,7500,00.002301,00.112576
fcfs,2,75000,100,2147483647,1636800687.244366336,750,00.114884,00.120680
fcfs,0,10000,100,2147483647,1636800687.371217740,100,00.000002,00.000163
fcfs,1,750000,100,2147483647,1636800687.371232331,7500,00.002249,00.112909
fcfs,2,100000,100,2147483647,1636800687.371277273,1000,00.114916,00.122774
fcfs,0,10000,100,2147483647,1636800687.500436724,100,00.000007,00.000161
fcfs,1,750000,100,2147483647,1636800687.500449710,7500,00.002257,00.113541
fcfs,2,250000,100,2147483647,1636800687.500482468,2500,00.116455,00.136111
fcfs,0,10000,100,2147483647,1636800687.643902493,100,00.000002,00.000156
fcfs,1,750000,100,2147483647,1636800687.643892212,7500,00.002250,00.112186
fcfs,2,500000,100,2147483647,1636800687.643939166,5000,00.113112,00.151867
fcfs,0,10000,100,2147483647,1636800687.801891570,100,00.000002,00.000157
fcfs,1,750000,100,2147483647,1636800687.801908004,7500,00.002237,00.111986
fcfs,2,750000,100,2147483647,1636800687.801930048,7500,00.112431,00.170132
fcfs,0,10000,100,2147483647,1636800687.978706112,100,00.000002,00.000157
fcfs,1,750000,100,2147483647,1636800687.978739870,7500,00.004298,00.114141
fcfs,2,1000000,100,2147483647,1636800687.978761431,10000,00.115232,00.193492
fcfs,0,10000,100,2147483647,1636800688.179196464,100,00.000002,00.000157
fcfs,1,1000000,100,2147483647,1636800688.179206911,10000,00.002354,00.149176
fcfs,2,10000,100,2147483647,1636800688.179284588,100,00.150036,00.150846
fcfs,0,10000,100,2147483647,1636800688.337814598,100,00.000002,00.000161
fcfs,1,1000000,100,2147483647,1636800688.337842518,10000,00.004388,00.150846
fcfs,2,25000,100,2147483647,1636800688.337888577,250,00.154021,00.155927
fcfs,0,10000,100,2147483647,1636800688.500380564,100,00.000002,00.000156
fcfs,1,1000000,100,2147483647,1636800688.500367809,10000,00.002338,00.149220
fcfs,2,50000,100,2147483647,1636800688.500426713,500,00.150326,00.154335
fcfs,0,10000,100,2147483647,1636800688.662944170,100,00.000002,00.000157
fcfs,1,1000000,100,2147483647,1636800688.662935773,10000,00.002313,00.149030
fcfs,2,75000,100,2147483647,1636800688.662994458,750,00.150043,00.155909
fcfs,0,10000,100,2147483647,1636800688.827028450,100,00.000002,00.000156
fcfs,1,1000000,100,2147483647,1636800688.827017517,10000,00.002312,00.147833
fcfs,2,100000,100,2147483647,1636800688.827061474,1000,00.147996,00.155741
fcfs,0,10000,100,2147483647,1636800688.989471887,100,00.000002,00.000156
fcfs,1,1000000,100,2147483647,1636800688.989481954,10000,00.002310,00.149008
fcfs,2,250000,100,2147483647,1636800688.989471671,2500,00.150092,00.169439
fcfs,0,10000,100,2147483647,1636800689.166386614,100,00.000002,00.000157
fcfs,1,1000000,100,2147483647,1636800689.166402536,10000,00.002267,00.148630
fcfs,2,500000,100,2147483647,1636800689.166425127,5000,00.150016,00.188685
fcfs,0,10000,100,2147483647,1636800689.361904458,100,00.000002,00.000156
fcfs,1,1000000,100,2147483647,1636800689.361921412,10000,00.002363,00.148468
fcfs,2,750000,100,2147483647,1636800689.361967732,7500,00.149986,00.208054
fcfs,0,10000,100,2147483647,1636800689.577553447,100,00.000002,00.000156
fcfs,1,1000000,100,2147483647,1636800689.577542462,10000,00.002395,00.149148
fcfs,2,1000000,100,2147483647,1636800689.577591705,10000,00.150271,00.228326
fcfs,0,25000,100,2147483647,1636800689.813989917,250,00.002077,00.002465
fcfs,1,10000,100,2147483647,1636800689.814037758,100,00.004115,00.005609
fcfs,2,10000,100,2147483647,1636800689.814050734,100,00.008232,00.009057
fcfs,0,25000,100,2147483647,1636800689.828535624,250,00.000007,00.000392
fcfs,1,10000,100,2147483647,1636800689.828538199,100,00.002054,00.003565
fcfs,2,25000,100,2147483647,1636800689.828584968,250,00.004099,00.006100
fcfs,0,25000,100,2147483647,1636800689.838598124,250,00.000006,00.000387
fcfs,1,10000,100,2147483647,1636800689.838600123,100,00.002093,00.003614
fcfs,2,50000,100,2147483647,1636800689.838677567,500,00.004152,00.008136
fcfs,0,25000,100,2147483647,1636800689.850707347,250,00.000007,00.000388
fcfs,1,10000,100,2147483647,1636800689.850723950,100,00.002066,00.003544
fcfs,2,75000,100,2147483647,1636800689.850760316,750,00.004136,00.009969
fcfs,0,25000,100,2147483647,1636800689.865111524,250,00.000010,00.000391
fcfs,1,10000,100,2147483647,1636800689.865134671,100,00.002064,00.003581
fcfs,2,100000,100,2147483647,1636800689.865169264,1000,00.004145,00.012040
fcfs,0,25000,100,2147483647,1636800689.881565084,250,00.000008,00.000389
fcfs,1,10000,100,2147483647,1636800689.881600821,100,00.002039,00.003544
fcfs,2,250000,100,2147483647,1636800689.881658147,2500,00.004170,00.023800
fcfs,0,25000,100,2147483647,1636800689.911121584,250,00.000005,00.000395
fcfs,1,10000,100,2147483647,1636800689.911152552,100,00.002001,00.003523
fcfs,2,500000,100,2147483647,1636800689.911162365,5000,00.004196,00.043170
fcfs,0,25000,100,2147483647,1636800689.960011194,250,00.000005,00.000385
fcfs,1,10000,100,2147483647,1636800689.960025646,100,00.002063,00.003644
fcfs,2,750000,100,2147483647,1636800689.960090946,7500,00.004254,00.062945
fcfs,0,25000,100,2147483647,1636800690.028905220,250,00.000005,00.000386
fcfs,1,10000,100,2147483647,1636800690.028897395,100,00.002090,00.003602
fcfs,2,1000000,100,2147483647,1636800690.028949074,10000,00.004314,00.081518
fcfs,0,25000,100,2147483647,1636800690.116940458,250,00.000005,00.000385
fcfs,1,25000,100,2147483647,1636800690.116928869,250,00.002053,00.005805
fcfs,2,10000,100,2147483647,1636800690.116976135,100,00.006194,00.007033
fcfs,0,25000,100,2147483647,1636800690.129608229,250,00.000005,00.000385
fcfs,1,25000,100,2147483647,1636800690.129620244,250,00.002075,00.005908
fcfs,2,25000,100,2147483647,1636800690.129699728,250,00.006160,00.008117
fcfs,0,25000,100,2147483647,1636800690.141970745,250,00.000012,00.000393
fcfs,1,25000,100,2147483647,1636800690.141996816,250,00.002045,00.005824
fcfs,2,50000,100,2147483647,1636800690.142024258,500,00.006253,00.010140
fcfs,0,25000,100,2147483647,1636800690.156604221,250,00.000005,00.000385
fcfs,1,25000,100,2147483647,1636800690.156596830,250,00.002056,00.005747
fcfs,2,75000,100,2147483647,1636800690.156647310,750,00.006222,00.012167
fcfs,0,25000,100,2147483647,1636800690.173086141,250,00.000011,00.000392
fcfs,1,25000,100,2147483647,1636800690.173102445,250,00.002034,00.005738
fcfs,2,100000,100,2147483647,1636800690.173146145,1000,00.006201,00.013968
fcfs,0,25000,100,2147483647,1636800690.191732176,250,00.000008,00.000391
fcfs,1,25000,100,2147483647,1636800690.191751613,250,00.002074,00.005760
fcfs,2,250000,100,2147483647,1636800690.191808111,2500,00.008291,00.027852
fcfs,0,25000,100,2147483647,1636800690.225416505,250,00.000013,00.000393
fcfs,1,25000,100,2147483647,1636800690.225437967,250,00.002062,00.006461
fcfs,2,500000,100,2147483647,1636800690.225467782,5000,00.008409,00.047773
fcfs,0,25000,100,2147483647,1636800690.277799287,250,00.000005,00.000389
fcfs,1,25000,100,2147483647,1636800690.277821492,250,00.002080,00.005761
fcfs,2,750000,100,2147483647,1636800690.277872019,7500,00.006351,00.064289
fcfs,0,25000,100,2147483647,1636800690.347179165,250,00.000009,00.000390
fcfs,1,25000,100,2147483647,1636800690.347202339,250,00.002028,00.005959
fcfs,2,1000000,100,2147483647,1636800690.347235310,10000,00.006344,00.096532
fcfs,0,25000,100,2147483647,1636800690.450234974,250,00.000005,00.000385
fcfs,1,50000,100,2147483647,1636800690.450251173,500,00.002019,00.009512
fcfs,2,10000,100,2147483647,1636800690.450280625,100,00.010386,00.011226
fcfs,0,25000,100,2147483647,1636800690.467566134,250,00.000005,00.000397
fcfs,1,50000,100,2147483647,1636800690.467554921,500,00.002068,00.009493
fcfs,2,25000,100,2147483647,1636800690.467608028,250,00.010363,00.012379
fcfs,0,25000,100,2147483647,1636800690.484141456,250,00.000005,00.000385
fcfs,1,50000,100,2147483647,1636800690.484137121,500,00.002090,00.009486
fcfs,2,50000,100,2147483647,1636800690.484217805,500,00.010301,00.014210
fcfs,0,25000,100,2147483647,1636800690.502813853,250,00.000006,00.000386
fcfs,1,50000,100,2147483647,1636800690.502833173,500,00.002052,00.009403
fcfs,2,75000,100,2147483647,1636800690.502866114,750,00.010291,00.016099
fcfs,0,25000,100,2147483647,1636800690.523566498,250,00.000007,00.000388
fcfs,1,50000,100,2147483647,1636800690.523585110,500,00.002082,00.009451
